cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,tvtot,tvpol,rdtot,rdpol,nwsptot,nwsppol,netuse,ppltrst,pplfair,pplhlp,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtdgcl,mmbprty,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inmdisc,sclact,crmvct,aesfdrk,brghmwr,brghmef,crvctwr,crvctef,trrenyr,trrcnyr,trrprsn,trrtort,health,hlthhmp,rlgblg,rlgdnm,rlgblge,rlgdnme,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzship,ctzshipa,ctzshipb,ctzshipc,brncntr,cntbrth,cntbrtha,cntbrthb,cntbrthc,livecntr,livecnta,lnghoma,lnghom1,lnghomb,lnghom2,blgetmg,facntr,facntn,fbrncnt,fbrncnta,fbrncntb,mocntr,mocntn,mbrncnt,mbrncnta,mbrncntb,gndr,partner,rshpsts,marsts,marital,martlfr,maritala,maritalb,lvghw,lvghwa,lvgoptn,lvgptn,lvgptna,lvgptne,lvgptnea,dvrcdev,dvrcdeva,chldhm,chldhhe,domicil,edulvla,edulvlb,eisced,edufld,eduyrs,pdwrk,edctn,uempla,uempli,dsbld,rtrd,cmsrv,hswrk,dngoth,dngdk,dngref,dngna,mainact,mnactic,crpdwk,pdjobev,pdjobyr,emplrel,emplno,wrkctr,wrkctra,estsz,jbspv,njbspv,wkdcorg,wkdcorga,iorgact,wkhct,wkhtot,nacer1,nacer11,nacer2,tporgwk,iscoco,isco08,wrkac6m,uemp3m,uemp12m,uemp5yr,mbtru,hincsrc,hincsrca,hinctnt,hinctnta,hincfel,brwmny,edulvlpa,edulvlpb,eiscedp,pdwrkp,edctnp,uemplap,uemplip,dsbldp,rtrdp,cmsrvp,hswrkp,dngothp,dngdkp,dngnapp,dngrefp,dngnap,mnactp,crpdwkp,iscocop,isco08p,emprelp,emplnop,jbspvp,njbspvp,wkdcorp,ioactp,wkhtotp,edulvlfa,edulvlfb,eiscedf,emprf14,emplnof,jbspvf,occf14,occf14a,occf14b,edulvlma,edulvlmb,eiscedm,emprm14,emplnom,jbspvm,occm14,occm14a,occm14b,atncrse,fxltph,mbltph,inttph,
FR,ESS1-6e01,1.0,26.11.2014,121102,ESS6e02_1,6,2.1,53,0.925589021910461,0.704912371339202,2.702677846,5,1,,,,,,5,6,5,3,,,1,3,8,2,1,2,4,3,2,2,2,2,1,2,1,2,6,,88,10,5,4,7,9,8,1,1,,,4,2,2,2,5,9,9,10,6,,1,2,2,,,,,,,,,1,3,2,66,1,1,10,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,,,ES,2,,,,ES,,1959,,FRE,,000,2,2,,,,ES,2,,,,ES,2,1,3,6,,,,6,,,,,,,6,,1,2,1,3,5,720,7,,12,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,,1,4,1,30,,10,10,18,30,,,85,2,,2320,2,2,6,6,2,1,1,,5,1,,3,313,4,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,,66666,6,,,,,,666,1,113,1,1,,,,,6,1,113,1,3,,,,,66,1,,,,
FR,ESS1-6e01,1.0,26.11.2014,121103,ESS6e02_1,6,2.1,57,0.925589021910461,0.696166830319796,2.702677846,2,2,,,,,,4,4,4,3,,,3,3,4,2,2,3,3,1,2,2,1,2,2,2,2,2,6,,5,5,0,3,3,6,8,2,2,,,3,4,4,3,4,4,4,5,4,,3,1,2,,,,,,,,,3,3,1,1,6,66,6,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,1,,,,66,1,1,1,66,,,,1,,,,,,,2,,2,2,1,5,3,321,3,,9,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2005,2,0,,6,1,2,66666,,10,10,70,80,,,1,5,,6330,2,2,6,6,3,3,4,,1,2,,2,213,2,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,,6111,2,,,,,,40,1,113,1,2,,,,,9,1,113,1,3,,,,,66,2,,,,
FR,ESS1-6e01,1.0,26.11.2014,121104,ESS6e02_1,6,2.1,62,0.46279451095523,0.36211722961507,2.702677846,5,3,,,,,,6,6,4,1,,,6,7,8,2,2,5,7,1,2,2,2,2,2,2,1,2,6,,6,7,4,5,6,5,8,2,1,,,2,3,3,3,5,1,4,8,6,,5,2,1,,,,,,,,,2,3,1,1,6,66,9,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,1,,,,66,1,2,66,4,,,,4,,,,,,,2,,2,2,1,4,5,720,7,,20,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,2,7,,6,1,1,7,,10,10,12,12,,,69,5,,2619,2,2,6,6,3,2,2,,9,1,,66,6666,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,,66666,6,,,,,,666,1,113,1,1,,,,,6,3,321,3,1,,,,,4,1,,,,
FR,ESS1-6e01,1.0,26.11.2014,121105,ESS6e02_1,6,2.1,63,0.925589021910461,0.687007009976717,2.702677846,2,0,,,,,,1,1,0,4,,,0,0,0,9,0,0,4,1,2,2,2,2,1,2,2,2,6,,88,7,0,0,0,2,8,1,3,,,4,3,3,4,5,5,3,6,4,,3,1,4,,,,,,,,,3,1,2,66,1,1,0,7,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,66,2,,,,DZ,,1962,,FRE,,000,2,2,,,,DZ,2,,,,DZ,1,1,1,66,,,,1,,,,,,,2,,1,2,1,4,3,321,3,,12,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,,1,1,2,66666,,8,5,35,37,,,47,4,,9622,2,2,6,6,3,1,1,,4,3,,3,323,4,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,,5230,1,,,,,,33,3,323,4,1,,,,,6,1,113,1,1,,,,,3,2,,,,
FR,ESS1-6e01,1.0,26.11.2014,121106,ESS6e02_1,6,2.1,64,0.925589021910461,1.28526737417187,2.702677846,7,0,,,,,,2,5,5,4,,,0,0,0,0,0,0,1,3,2,2,2,2,2,2,2,2,6,,4,5,2,3,6,7,7,2,2,,,5,3,3,2,8,6,5,8,7,,4,1,1,,,,,,,,,3,3,2,66,1,1,1,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,1,,,,66,1,1,2,66,,,,2,,,,,,,2,,2,1,6,4,3,321,3,,12,0,0,1,0,0,0,0,0,0,0,0,0,66,3,2,1,2012,1,66666,,2,1,2,66666,,10,7,39,42,,,49,4,,8332,2,2,6,6,3,1,1,,2,2,,3,313,4,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,,5223,1,,,,,,35,88,8888,88,1,,,,,7,88,8888,88,1,,,,,5,1,,,,
FR,ESS1-6e01,1.0,26.11.2014,121107,ESS6e02_1,6,2.1,66,1.41325897643655,1.05686258098547,2.702677846,3,2,,,,,,5,5,6,2,,,6,6,7,7,6,7,6,1,2,1,1,2,1,1,1,1,1,,3,8,3,8,8,6,4,1,1,,,8,2,2,1,9,10,10,8,7,,3,2,2,,,,,,,,,2,2,1,1,6,66,3,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,1,,,,66,2,1,1,66,,,,1,,,,,,,1,,2,1,6,4,5,720,7,,17,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,,1,2,1,16,,10,6,35,37,,,888,4,,1344,2,1,2,2,1,1,1,,9,1,,5,710,7,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,,1219,1,,,,,,37,1,113,1,2,,,,,6,5,520,5,1,,,,,1,1,,,,
FR,ESS1-6e01,1.0,26.11.2014,121108,ESS6e02_1,6,2.1,67,0.942172679036634,0.837411734416214,2.702677846,4,2,,,,,,5,7,2,1,,,2,5,7,0,0,3,4,1,2,2,1,2,1,2,2,2,6,,1,2,0,1,2,4,7,1,1,,,1,1,2,2,5,3,2,9,4,,1,1,1,,,,,,,,,3,1,1,2,6,66,8,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,1,,,,66,1,1,1,66,,,,1,,,,,,,2,,1,2,1,5,5,620,6,,15,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,1992,1,66666,,1,2,1,12,,5,3,888,60,,,87,6,,1114,2,1,1,2,2,3,4,,8,2,,5,520,5,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,,66666,6,,,,,,666,88,8888,88,1,,,,,6,1,113,1,3,,,,,66,2,,,,
FR,ESS1-6e01,1.0,26.11.2014,121109,ESS6e02_1,6,2.1,70,1.88434535807327,1.37335656283893,2.702677846,4,2,,,,,,0,5,5,4,,,0,5,5,0,0,0,0,1,2,2,2,2,2,2,2,2,6,,5,10,0,0,0,6,10,2,5,,,0,3,4,4,0,0,0,10,6,,3,2,1,,,,,,,,,2,3,2,66,2,66,0,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,1,,,,66,1,1,1,66,,,,1,,,,,,,2,,2,1,6,5,3,321,3,,12,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,,1,3,1,3,,5,3,35,39,,,42,4,,8342,2,2,6,6,3,1,1,,4,3,,2,213,2,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,,4110,1,,,,,,35,3,321,3,1,,,,,7,3,321,3,1,,,,,7,1,,,,
FR,ESS1-6e01,1.0,26.11.2014,121110,ESS6e02_1,6,2.1,71,0.471086339518317,0.354957745787086,2.702677846,4,0,,,,,,1,3,3,4,,,2,3,3,1,1,3,3,2,2,2,1,2,1,2,1,2,6,,5,4,2,2,3,4,4,3,2,,,5,2,2,2,5,5,4,5,6,,2,1,1,,,,,,,,,2,3,2,66,1,8,9,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,1,,,,66,2,2,66,6,,,,6,,,,,,,2,,2,2,2,5,5,620,6,,16,0,0,0,1,0,0,0,0,0,0,0,0,66,4,2,1,2011,1,66666,,2,4,2,66666,,10,5,26,30,,,85,1,,5312,2,1,2,1,3,4,5,,1,2,,66,6666,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,,66666,6,,,,,,666,1,113,1,1,,,,,3,1,113,1,3,,,,,66,1,,,,
FR,ESS1-6e01,1.0,26.11.2014,121111,ESS6e02_1,6,2.1,74,0.942172679036634,0.709915490820685,2.702677846,5,2,,,,,,5,7,4,2,,,6,8,7,4,4,6,8,1,2,2,1,2,1,2,1,1,2,,1,7,4,5,8,5,4,1,1,,,9,2,2,2,8,10,8,8,4,,2,2,1,,,,,,,,,2,3,2,66,2,66,4,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,2,1,,,,66,1,,,,66,2,1,3,4,,,,4,,,,,,,6,,1,1,6,4,5,620,6,,16,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,,1,3,1,1,,7,6,18,50,,,85,2,,2330,2,1,2,2,1,1,1,,6,2,,3,323,4,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,,5169,1,,,,,,48,1,113,1,1,,,,,6,3,313,4,1,,,,,3,2,,,,
FR,ESS1-6e01,1.0,26.11.2014,121112,ESS6e02_1,6,2.1,75,0.942172679036634,1.47654258465227,2.702677846,3,3,,,,,,7,8,9,3,,,8,6,7,8,7,5,6,1,2,2,2,2,2,2,2,2,6,,7,7,3,5,4,8,5,2,4,,,9,2,3,4,6,5,5,6,4,,4,2,2,,,,,,,,,3,3,1,1,6,66,7,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,8,1,,,,66,1,,,,66,2,1,1,66,,,,1,,,,,,,2,,2,2,1,4,1,113,1,,5,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,1993,1,66666,,3,2,2,66666,,0,0,48,48,,,1,4,,9211,2,2,6,6,3,3,4,,1,3,,1,113,1,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,,66666,6,,,,,,666,1,113,1,4,,,,,66,1,113,1,2,,,,,9,2,,,,
FR,ESS1-6e01,1.0,26.11.2014,121113,ESS6e02_1,6,2.1,76,0.471086339518317,0.642326191567895,2.702677846,3,0,,,,,,3,6,2,4,,,5,2,0,3,4,5,5,1,2,2,2,2,2,1,1,1,2,,10,10,0,0,2,1,5,1,5,,,0,4,4,4,0,0,0,8,6,,3,2,1,,,,,,,,,1,3,2,66,2,66,1,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,FRE,,000,8,1,,,,66,1,,,,66,1,2,66,6,,,,6,,,,,,,1,,2,2,2,4,3,321,3,,12,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,,1,3,2,66666,,10,0,39,50,,,49,4,,8332,2,2,6,6,3,1,1,,5,1,,66,6666,66,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,,66666,6,,,,,,666,88,8888,88,1,,,,,6,1,113,1,1,,,,,6,2,,,,
