age,educ,gender,religion,income,immig,loginc
36,17,Male,No religion,4900,5.6666665,8.4969902
49,14,Male,catholic,6000,5.3333335,8.6995144
27,14,Female,catholic,820,1.3333334,6.7093043
59,15,Male,No religion,5000,7.6666665,8.5171928
32,15,Female,No religion,1200,4.6666665,7.0900769
39,16,Female,No religion,2500,5,7.8240461
49,15,Female,No religion,3300,5.6666665,8.1016779
52,14,Female,No religion,1980,3,7.5908523
56,12,Female,catholic,3000,5.6666665,8.0063677
21,13,Male,No religion,110,5.6666665,4.7004805
44,12,Female,catholic,1700,5.3333335,7.4383836
50,9,Male,catholic,2000,7.6666665,7.6009026
45,17,Female,catholic,3450,5.6666665,8.1461296
19,12,Male,No religion,1444,3.3333333,7.2751722
45,20,Male,catholic,3850,8,8.2558289
32,16,Female,catholic,3500,5.3333335,8.1605186
42,14,Male,No religion,3000,6.3333335,8.0063677
37,18,Male,No religion,2500,5.6666665,7.8240461
52,18,Male,catholic,7500,4.6666665,8.922658
54,5,Female,No religion,1035,5.6666665,6.9421568
25,16,Male,No religion,2141,5,7.6690283
50,17,Female,catholic,1800,6.6666665,7.495542
42,13,Female,Orthodox & other christians,1650,6,7.4085307
27,14,Male,catholic,2100,6.3333335,7.6496925
23,13,Male,No religion,2000,7,7.6009026
52,11,Male,catholic,2200,2.6666667,7.6962128
40,20,Female,No religion,4000,4.3333335,8.2940493
46,12,Female,No religion,2500,5.3333335,7.8240461
64,15,Male,No religion,5000,6,8.5171928
58,16,Female,No religion,5000,8.666667,8.5171928
31,17,Female,catholic,2400,6,7.7832241
44,15,Female,catholic,1900,5.6666665,7.5496092
58,14,Male,No religion,2500,5,7.8240461
24,16,Female,No religion,1200,7,7.0900769
49,12,Female,Protestant,1500,3,7.3132205
27,15,Male,Islamic,1180,6,7.0732698
42,21,Male,No religion,220000,2,12.301383
48,13,Male,Islamic,2200,3.6666667,7.6962128
30,19,Female,No religion,2800,7,7.9373746
33,13,Female,No religion,1300,3.6666667,7.1701198
55,1,Male,Islamic,2800,8,7.9373746
34,2,Female,No religion,2000,6.3333335,7.6009026
62,6,Male,No religion,4200,4.3333335,8.3428402
21,13,Male,No religion,190,5,5.2470241
35,21,Male,catholic,3500,8.666667,8.1605186
48,15,Male,No religion,3500,7.3333335,8.1605186
52,6,Male,No religion,1800,5.3333335,7.495542
64,17,Male,Jewish,4500,7.3333335,8.4118328
31,22,Male,Protestant,4200,5.3333335,8.3428402
23,16,Female,catholic,1600,4.6666665,7.377759
47,12,Male,catholic,3200,5.3333335,8.0709057
52,9,Female,No religion,225,3.6666667,5.4161005
34,17,Male,No religion,3500,8.333333,8.1605186
30,16,Male,No religion,4350,6.6666665,8.3779316
39,19,Male,No religion,7000,7,8.8536654
45,12,Male,No religion,2500,5,7.8240461
27,17,Female,No religion,3000,7.6666665,8.0063677
26,18,Female,No religion,2050,4.3333335,7.6255951
48,16,Female,No religion,3500,4.6666665,8.1605186
57,15,Female,catholic,1600,5.3333335,7.377759
60,19,Male,No religion,5900,6,8.6827078
51,18,Female,catholic,5000,7,8.5171928
51,15,Male,No religion,4800,5.6666665,8.4763708
49,12,Female,No religion,2488,5.6666665,7.8192344
41,12,Male,No religion,3600,6,8.1886892
34,19,Male,catholic,4300,7.6666665,8.3663702
30,15,Male,catholic,2300,4.6666665,7.7406645
47,14,Male,Orthodox & other christians,7500,5.6666665,8.922658
53,15,Female,No religion,2200,6.3333335,7.6962128
21,13,Male,No religion,8,6,2.0794415
32,16,Male,No religion,2100,7,7.6496925
42,12,Male,catholic,2200,6.3333335,7.6962128
24,16,Male,No religion,987,6.6666665,6.89467
35,16,Male,No religion,2800,7,7.9373746
42,15,Male,No religion,1800,7.3333335,7.495542
27,16,Male,No religion,3500,7.3333335,8.1605186
55,12,Male,catholic,20000,5.3333335,9.9034872
42,17,Female,catholic,1650,6,7.4085307
54,12,Male,No religion,2500,3.3333333,7.8240461
36,13,Male,No religion,1500,6.3333335,7.3132205
46,14,Male,catholic,2400,1.6666666,7.7832241
48,15,Female,catholic,3000,7.6666665,8.0063677
59,8,Female,No religion,1545,3.3333333,7.3427792
32,15,Male,catholic,2700,6,7.9010072
52,12,Male,No religion,2200,5,7.6962128
41,15,Male,No religion,2200,8,7.6962128
43,17,Female,catholic,2000,6.3333335,7.6009026
32,18,Male,No religion,2300,6,7.7406645
45,17,Male,No religion,3500,7,8.1605186
32,14,Male,catholic,2010,0,7.6058898
48,12,Male,catholic,4000,6,8.2940493
36,17,Female,No religion,2976,7,7.9983354
42,12,Female,catholic,2500,5.6666665,7.8240461
58,12,Female,catholic,1500,4.6666665,7.3132205
45,8,Female,No religion,1700,3.6666667,7.4383836
37,14,Male,No religion,2400,4.3333335,7.7832241
28,12,Female,No religion,2700,5.6666665,7.9010072
36,13,Female,No religion,3000,5.6666665,8.0063677
39,14,Male,catholic,7000,5,8.8536654
56,15,Male,catholic,5600,4.3333335,8.6305218
29,13,Male,Islamic,3400,6.3333335,8.1315308
44,17,Female,catholic,2500,4.3333335,7.8240461
49,12,Female,No religion,1500,3.6666667,7.3132205
37,13,Female,No religion,700,6,6.5510802
40,13,Male,No religion,2800,4.6666665,7.9373746
58,9,Female,No religion,1500,6.6666665,7.3132205
43,12,Male,Islamic,1500,7.6666665,7.3132205
